InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Year,Month,MonthName,YearMonth,IsCancelled,IsValidSale,CustomerID_Status
541827,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,9,2011-01-21 17:05:00,8.29,,United Kingdom,74.60999999999999,2011,1,Jan,2011-01,0,1,Missing
540121,22970,LONDON BUS COFFEE MUG,6,2011-01-05 10:35:00,2.55,16145.0,United Kingdom,15.299999999999999,2011,1,Jan,2011-01,0,1,Present
558539,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-06-30 12:14:00,2.95,16556.0,United Kingdom,17.700000000000003,2011,6,Jun,2011-06,0,1,Present
572562,22816,CARD MOTORBIKE SANTA,12,2011-10-25 09:07:00,0.42,13481.0,United Kingdom,5.04,2011,10,Oct,2011-10,0,1,Present
580115,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2011-12-01 16:22:00,2.46,,United Kingdom,2.46,2011,12,Dec,2011-12,0,1,Missing
540538,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-01-09 14:36:00,2.55,17841.0,United Kingdom,2.55,2011,1,Jan,2011-01,0,1,Present
539404,22961,JAM MAKING SET PRINTED,1,2010-12-17 12:24:00,1.45,17315.0,United Kingdom,1.45,2010,12,Dec,2010-12,0,1,Present
579122,21463,MIRRORED DISCO BALL ,16,2011-11-28 12:05:00,4.95,12971.0,United Kingdom,79.2,2011,11,Nov,2011-11,0,1,Present
561465,84818,DANISH ROSE PHOTO FRAME,4,2011-07-27 12:45:00,0.79,16447.0,United Kingdom,3.16,2011,7,Jul,2011-07,0,1,Present
537633,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2010-12-07 15:14:00,4.95,,United Kingdom,4.95,2010,12,Dec,2010-12,0,1,Missing
544586,22748,POPPY'S PLAYHOUSE KITCHEN,4,2011-02-21 15:04:00,2.1,17338.0,United Kingdom,8.4,2011,2,Feb,2011-02,0,1,Present
551468,90096,NECKLACE+BRACELET SET BLUE BLOSSOM,1,2011-04-28 16:21:00,2.46,,United Kingdom,2.46,2011,4,Apr,2011-04,0,1,Missing
561473,82600,NO SINGING METAL SIGN,12,2011-07-27 13:17:00,2.1,15078.0,United Kingdom,25.200000000000003,2011,7,Jul,2011-07,0,1,Present
540798,22268,EASTER DECORATION SITTING BUNNY,12,2011-01-11 12:11:00,0.85,17365.0,United Kingdom,10.2,2011,1,Jan,2011-01,0,1,Present
542622,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1,2011-01-31 09:09:00,4.13,,United Kingdom,4.13,2011,1,Jan,2011-01,0,1,Missing
560278,23245,SET OF 3 REGENCY CAKE TINS,2,2011-07-17 15:45:00,4.95,13610.0,United Kingdom,9.9,2011,7,Jul,2011-07,0,1,Present
543660,21002,ROSE DU SUD DRAWSTRING BAG,1,2011-02-11 10:40:00,3.29,,United Kingdom,3.29,2011,2,Feb,2011-02,0,1,Missing
569844,23286,BLUE VINTAGE SPOT BEAKER,24,2011-10-06 13:30:00,0.85,12626.0,Germany,20.4,2011,10,Oct,2011-10,0,1,Present
573585,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,7,2011-10-31 14:41:00,1.63,,United Kingdom,11.41,2011,10,Oct,2011-10,0,1,Missing
548808,72799E,IVORY PILLAR CANDLE SILVER FLOCK,2,2011-04-04 12:55:00,2.95,17774.0,United Kingdom,5.9,2011,4,Apr,2011-04,0,1,Present
540551,20652,BLUE POLKADOT LUGGAGE TAG ,11,2011-01-10 09:43:00,0.85,,United Kingdom,9.35,2011,1,Jan,2011-01,0,1,Missing
557281,20758,ABSTRACT CIRCLES POCKET BOOK,2,2011-06-19 12:23:00,0.85,13632.0,United Kingdom,1.7,2011,6,Jun,2011-06,0,1,Present
554054,22467,GUMBALL COAT RACK,1,2011-05-20 15:29:00,4.96,,United Kingdom,4.96,2011,5,May,2011-05,0,1,Missing
555275,22028,PENNY FARTHING BIRTHDAY CARD,1,2011-06-01 17:18:00,0.83,,United Kingdom,0.83,2011,6,Jun,2011-06,0,1,Missing
548309,22711,WRAP CIRCUS PARADE,25,2011-03-30 12:02:00,0.42,16657.0,United Kingdom,10.5,2011,3,Mar,2011-03,0,1,Present
569261,22563,HAPPY STENCIL CRAFT,1,2011-10-03 11:34:00,1.25,17321.0,United Kingdom,1.25,2011,10,Oct,2011-10,0,1,Present
545215,22342,HOME GARLAND PAINTED ZINC ,1,2011-02-28 16:47:00,3.29,,United Kingdom,3.29,2011,2,Feb,2011-02,0,1,Missing
549309,22562,MONSTERS STENCIL CRAFT,12,2011-04-08 09:15:00,1.25,15114.0,United Kingdom,15.0,2011,4,Apr,2011-04,0,1,Present
564438,20725,LUNCH BAG RED RETROSPOT,10,2011-08-25 12:11:00,1.65,16628.0,United Kingdom,16.5,2011,8,Aug,2011-08,0,1,Present
552658,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-05-10 14:57:00,0.85,14534.0,United Kingdom,10.2,2011,5,May,2011-05,0,1,Present
566558,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,1,2011-09-13 11:51:00,1.45,15311.0,United Kingdom,1.45,2011,9,Sep,2011-09,0,1,Present
577557,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,1,2011-11-20 15:36:00,0.29,15426.0,United Kingdom,0.29,2011,11,Nov,2011-11,0,1,Present
542534,22498,WOODEN REGATTA BUNTING,3,2011-01-28 13:27:00,5.95,13707.0,United Kingdom,17.85,2011,1,Jan,2011-01,0,1,Present
581578,23037,CANDLE HOLDER SILVER MADELINE,12,2011-12-09 12:16:00,1.65,12713.0,Germany,19.799999999999997,2011,12,Dec,2011-12,0,1,Present
548172,21094,SET/6 RED SPOTTY PAPER PLATES,48,2011-03-29 14:13:00,0.85,15738.0,United Kingdom,40.8,2011,3,Mar,2011-03,0,1,Present
571214,22440,BALLOON WATER BOMB PACK OF 35,10,2011-10-14 12:56:00,0.42,14390.0,United Kingdom,4.2,2011,10,Oct,2011-10,0,1,Present
542276,22241,GARLAND WOODEN HAPPY EASTER,12,2011-01-27 10:19:00,1.25,12764.0,Lebanon,15.0,2011,1,Jan,2011-01,0,1,Present
570656,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-11 14:10:00,0.79,16120.0,United Kingdom,14.22,2011,10,Oct,2011-10,0,1,Present
563924,22113,GREY HEART HOT WATER BOTTLE,3,2011-08-21 14:32:00,3.75,15984.0,United Kingdom,11.25,2011,8,Aug,2011-08,0,1,Present
542344,21630,FLOOR CUSHION ELEPHANT CARNIVAL,1,2011-01-27 11:30:00,18.29,,United Kingdom,18.29,2011,1,Jan,2011-01,0,1,Missing
548178,85099B,JUMBO BAG RED RETROSPOT,10,2011-03-29 14:35:00,1.95,14367.0,United Kingdom,19.5,2011,3,Mar,2011-03,0,1,Present
546622,22356,CHARLOTTE BAG PINK POLKADOT,2,2011-03-15 11:30:00,0.85,17954.0,United Kingdom,1.7,2011,3,Mar,2011-03,0,1,Present
578781,23569,TRADTIONAL ALPHABET STAMP SET,1,2011-11-25 11:54:00,4.95,15872.0,United Kingdom,4.95,2011,11,Nov,2011-11,0,1,Present
549588,23154,SET OF 4 JAM JAR MAGNETS,12,2011-04-11 10:04:00,2.08,12428.0,Finland,24.96,2011,4,Apr,2011-04,0,1,Present
559061,23256,CHILDRENS CUTLERY SPACEBOY ,2,2011-07-06 10:04:00,4.15,17220.0,United Kingdom,8.3,2011,7,Jul,2011-07,0,1,Present
551719,84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,4,2011-05-03 16:09:00,8.29,,United Kingdom,33.16,2011,5,May,2011-05,0,1,Missing
541838,22189,CREAM HEART CARD HOLDER,6,2011-01-23 10:43:00,3.95,12916.0,United Kingdom,23.700000000000003,2011,1,Jan,2011-01,0,1,Present
550204,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2011-04-15 10:37:00,4.13,,United Kingdom,12.39,2011,4,Apr,2011-04,0,1,Missing
537254,22716,CARD CIRCUS PARADE,12,2010-12-06 11:01:00,0.42,15898.0,United Kingdom,5.04,2010,12,Dec,2010-12,0,1,Present
553190,84789,ENCHANTED BIRD PLANT CAGE,3,2011-05-15 13:14:00,3.75,15164.0,United Kingdom,11.25,2011,5,May,2011-05,0,1,Present
550488,20996,JAZZ HEARTS ADDRESS BOOK,8,2011-04-18 14:27:00,0.42,16729.0,United Kingdom,3.36,2011,4,Apr,2011-04,0,1,Present
550630,35809A,ENAMEL PINK TEA CONTAINER,12,2011-04-19 14:49:00,0.83,14298.0,United Kingdom,9.959999999999999,2011,4,Apr,2011-04,0,1,Present
567206,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-09-19 10:51:00,2.08,13562.0,United Kingdom,20.8,2011,9,Sep,2011-09,0,1,Present
562574,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-08-07 12:42:00,7.95,14903.0,United Kingdom,7.95,2011,8,Aug,2011-08,0,1,Present
572025,22896,PEG BAG APPLES DESIGN,6,2011-10-20 11:30:00,2.55,17651.0,United Kingdom,15.299999999999999,2011,10,Oct,2011-10,0,1,Present
579777,23551,PACK OF 12 PAISLEY PARK TISSUES ,3,2011-11-30 15:13:00,0.83,,United Kingdom,2.4899999999999998,2011,11,Nov,2011-11,0,1,Missing
555635,23283,DOORMAT VINTAGE LEAVES DESIGN ,2,2011-06-06 12:29:00,7.95,13319.0,United Kingdom,15.9,2011,6,Jun,2011-06,0,1,Present
544298,22998,TRAVEL CARD WALLET KEEP CALM,24,2011-02-17 12:51:00,0.36,14298.0,United Kingdom,8.64,2011,2,Feb,2011-02,0,1,Present
567183,23396,LE JARDIN BOTANIQUE CUSHION COVER,2,2011-09-18 15:32:00,3.75,14769.0,United Kingdom,7.5,2011,9,Sep,2011-09,0,1,Present
576610,35923,CANDY HEART HANGING DECORATION,12,2011-11-15 16:19:00,0.39,15679.0,United Kingdom,4.68,2011,11,Nov,2011-11,0,1,Present
566932,23402,HOME SWEET HOME 3 PEG HANGER ,1,2011-09-15 15:29:00,3.75,17576.0,United Kingdom,3.75,2011,9,Sep,2011-09,0,1,Present
553035,22619,SET OF 6 SOLDIER SKITTLES,1,2011-05-12 20:13:00,3.75,17337.0,United Kingdom,3.75,2011,5,May,2011-05,0,1,Present
541219,47504K,ENGLISH ROSE GARDEN SECATEURS,1,2011-01-14 14:06:00,3.29,,United Kingdom,3.29,2011,1,Jan,2011-01,0,1,Missing
549556,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,2,2011-04-10 12:53:00,0.85,17372.0,United Kingdom,1.7,2011,4,Apr,2011-04,0,1,Present
563351,21664,RIDGED GLASS STORAGE JAR CREAM LID,9,2011-08-15 14:17:00,3.75,16902.0,United Kingdom,33.75,2011,8,Aug,2011-08,0,1,Present
577016,21499,BLUE POLKADOT WRAP,25,2011-11-17 12:21:00,0.42,17095.0,United Kingdom,10.5,2011,11,Nov,2011-11,0,1,Present
578668,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,48,2011-11-24 17:11:00,0.29,12971.0,United Kingdom,13.919999999999998,2011,11,Nov,2011-11,0,1,Present
538566,21851,LILAC DIAMANTE PEN IN GIFT BOX,1,2010-12-13 11:21:00,4.21,,United Kingdom,4.21,2010,12,Dec,2010-12,0,1,Missing
553543,22424,ENAMEL BREAD BIN CREAM,1,2011-05-17 15:35:00,24.96,,United Kingdom,24.96,2011,5,May,2011-05,0,1,Missing
537868,21166,COOK WITH WINE METAL SIGN ,12,2010-12-08 16:49:00,1.95,12433.0,Norway,23.4,2010,12,Dec,2010-12,0,1,Present
C558439,22804,CANDLEHOLDER PINK HANGING HEART,-2,2011-06-29 12:53:00,2.95,12584.0,Italy,-5.9,2011,6,Jun,2011-06,1,0,Present
545023,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-02-25 14:25:00,0.55,12921.0,United Kingdom,13.200000000000001,2011,2,Feb,2011-02,0,1,Present
558475,84527,FLAMES SUNGLASSES PINK LENSES,4,2011-06-29 15:58:00,1.63,,United Kingdom,6.52,2011,6,Jun,2011-06,0,1,Missing
556087,21206,STRAWBERRY HONEYCOMB  GARLAND ,1,2011-06-08 15:24:00,3.29,,United Kingdom,3.29,2011,6,Jun,2011-06,0,1,Missing
565286,21259,VICTORIAN SEWING BOX SMALL ,1,2011-09-02 11:39:00,12.46,,United Kingdom,12.46,2011,9,Sep,2011-09,0,1,Missing
570427,23245,SET OF 3 REGENCY CAKE TINS,4,2011-10-10 13:56:00,4.95,17462.0,United Kingdom,19.8,2011,10,Oct,2011-10,0,1,Present
565329,21580,RABBIT  DESIGN  COTTON TOTE BAG,1,2011-09-02 13:54:00,2.25,14606.0,United Kingdom,2.25,2011,9,Sep,2011-09,0,1,Present
553913,21361,LOVE LARGE WOOD LETTERS ,1,2011-05-19 19:47:00,12.75,18109.0,United Kingdom,12.75,2011,5,May,2011-05,0,1,Present
536395,21314,SMALL GLASS HEART TRINKET POT,8,2010-12-01 10:47:00,2.1,13767.0,United Kingdom,16.8,2010,12,Dec,2010-12,0,1,Present
540161,37370,RETRO COFFEE MUGS ASSORTED,4,2011-01-05 11:52:00,1.25,16719.0,United Kingdom,5.0,2011,1,Jan,2011-01,0,1,Present
549325,21107,CREAM SLICE FLANNEL PINK SPOT ,6,2011-04-08 10:32:00,2.95,12717.0,Greece,17.700000000000003,2011,4,Apr,2011-04,0,1,Present
576303,22059,CERAMIC STRAWBERRY DESIGN MUG,2,2011-11-14 14:51:00,1.49,15532.0,United Kingdom,2.98,2011,11,Nov,2011-11,0,1,Present
546415,48194,DOORMAT HEARTS,2,2011-03-13 10:27:00,7.95,17975.0,United Kingdom,15.9,2011,3,Mar,2011-03,0,1,Present
555645,22998,TRAVEL CARD WALLET KEEP CALM,24,2011-06-06 13:31:00,0.42,18016.0,United Kingdom,10.08,2011,6,Jun,2011-06,0,1,Present
562096,20733,GOLD MINI TAPE MEASURE ,100,2011-08-02 13:16:00,0.72,15311.0,United Kingdom,72.0,2011,8,Aug,2011-08,0,1,Present
547206,22993,SET OF 4 PANTRY JELLY MOULDS,2,2011-03-21 14:18:00,1.25,16791.0,United Kingdom,2.5,2011,3,Mar,2011-03,0,1,Present
544203,20699,MOUSEY LONG LEGS SOFT TOY,6,2011-02-17 10:30:00,2.55,12362.0,Belgium,15.299999999999999,2011,2,Feb,2011-02,0,1,Present
574287,21126,SET OF 6 GIRLS CELEBRATION CANDLES,1,2011-11-03 15:09:00,1.25,14723.0,United Kingdom,1.25,2011,11,Nov,2011-11,0,1,Present
562282,21498,RED RETROSPOT WRAP ,50,2011-08-04 10:38:00,0.42,13098.0,United Kingdom,21.0,2011,8,Aug,2011-08,0,1,Present
571408,22138,BAKING SET 9 PIECE RETROSPOT ,1,2011-10-17 12:22:00,4.95,15012.0,United Kingdom,4.95,2011,10,Oct,2011-10,0,1,Present
570667,23209,LUNCH BAG VINTAGE DOILY ,10,2011-10-11 14:33:00,1.65,12362.0,Belgium,16.5,2011,10,Oct,2011-10,0,1,Present
553539,22430,ENAMEL WATERING CAN CREAM,2,2011-05-17 15:27:00,0.0,,United Kingdom,0.0,2011,5,May,2011-05,0,0,Missing
569322,23318,BOX OF 6 MINI VINTAGE CRACKERS,6,2011-10-03 12:31:00,2.49,16912.0,United Kingdom,14.940000000000001,2011,10,Oct,2011-10,0,1,Present
579512,23424,GINGHAM RECIPE BOOK BOX,5,2011-11-29 16:47:00,10.79,,United Kingdom,53.949999999999996,2011,11,Nov,2011-11,0,1,Missing
557322,84663A,GRASS HOPPER WOODEN WALL CLOCK ,3,2011-06-20 09:04:00,5.95,17444.0,Canada,17.85,2011,6,Jun,2011-06,0,1,Present
540187,21721,CANDY SHOP  STICKER SHEET,12,2011-01-05 13:53:00,0.85,15358.0,United Kingdom,10.2,2011,1,Jan,2011-01,0,1,Present
552508,90161D,ANT COPPER PINK BOUDICCA BRACELET,1,2011-05-09 16:27:00,4.98,,United Kingdom,4.98,2011,5,May,2011-05,0,1,Missing
579093,21479,WHITE SKULL HOT WATER BOTTLE ,24,2011-11-28 10:54:00,3.75,13081.0,United Kingdom,90.0,2011,11,Nov,2011-11,0,1,Present
556108,22356,CHARLOTTE BAG PINK POLKADOT,1,2011-06-08 17:59:00,1.63,,United Kingdom,1.63,2011,6,Jun,2011-06,0,1,Missing
561217,48111,DOORMAT 3 SMILEY CATS,2,2011-07-25 17:09:00,15.79,,United Kingdom,31.58,2011,7,Jul,2011-07,0,1,Missing
569843,22186,RED STAR CARD HOLDER,2,2011-10-06 13:29:00,1.95,14449.0,United Kingdom,3.9,2011,10,Oct,2011-10,0,1,Present
580692,22075,6 RIBBONS ELEGANT CHRISTMAS ,8,2011-12-05 15:51:00,0.39,13173.0,United Kingdom,3.12,2011,12,Dec,2011-12,0,1,Present
558232,47566B,TEA TIME PARTY BUNTING,1,2011-06-27 14:30:00,4.95,17841.0,United Kingdom,4.95,2011,6,Jun,2011-06,0,1,Present
556473,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,3,2011-06-12 12:00:00,2.1,17265.0,United Kingdom,6.300000000000001,2011,6,Jun,2011-06,0,1,Present
561369,85066,CREAM SWEETHEART MINI CHEST,2,2011-07-26 16:22:00,24.96,,United Kingdom,49.92,2011,7,Jul,2011-07,0,1,Missing
554112,90194,SILVER LARIAT BLACK STONE EARRINGS,1,2011-05-22 14:44:00,4.25,17611.0,United Kingdom,4.25,2011,5,May,2011-05,0,1,Present
539470,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2010-12-19 14:03:00,1.25,14472.0,United Kingdom,1.25,2010,12,Dec,2010-12,0,1,Present
572307,23157,SET OF 6 NATIVITY MAGNETS ,12,2011-10-23 15:23:00,2.08,16905.0,United Kingdom,24.96,2011,10,Oct,2011-10,0,1,Present
539468,84030E,ENGLISH ROSE HOT WATER BOTTLE,6,2010-12-19 13:31:00,4.25,15044.0,United Kingdom,25.5,2010,12,Dec,2010-12,0,1,Present
569544,47310M,SMALL POP BOX FUNKY MONKEY,1,2011-10-04 16:33:00,1.63,,United Kingdom,1.63,2011,10,Oct,2011-10,0,1,Missing
569910,22633,HAND WARMER UNION JACK,12,2011-10-06 16:47:00,2.1,17139.0,United Kingdom,25.200000000000003,2011,10,Oct,2011-10,0,1,Present
536749,22174,PHOTO CUBE,2,2010-12-02 13:49:00,1.65,17976.0,United Kingdom,3.3,2010,12,Dec,2010-12,0,1,Present
561507,22838,3 TIER CAKE TIN RED AND CREAM,1,2011-07-27 14:21:00,14.95,12397.0,Belgium,14.95,2011,7,Jul,2011-07,0,1,Present
575068,85099B,JUMBO BAG RED RETROSPOT,10,2011-11-08 12:46:00,2.08,14282.0,United Kingdom,20.8,2011,11,Nov,2011-11,0,1,Present
539434,21481,FAWN BLUE HOT WATER BOTTLE,20,2010-12-17 14:41:00,2.95,,United Kingdom,59.0,2010,12,Dec,2010-12,0,1,Missing
566669,22866,HAND WARMER SCOTTY DOG DESIGN,12,2011-09-14 11:36:00,2.1,18065.0,United Kingdom,25.200000000000003,2011,9,Sep,2011-09,0,1,Present
555577,20665,RED RETROSPOT PURSE ,6,2011-06-05 15:53:00,2.95,15301.0,United Kingdom,17.700000000000003,2011,6,Jun,2011-06,0,1,Present
562960,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-08-11 10:22:00,0.85,14911.0,EIRE,10.2,2011,8,Aug,2011-08,0,1,Present
559163,84746,PINK EASTER HENS+FLOWER,1,2011-07-06 16:33:00,2.46,,United Kingdom,2.46,2011,7,Jul,2011-07,0,1,Missing
555722,21116,OWL DOORSTOP,1,2011-06-06 16:06:00,8.29,,United Kingdom,8.29,2011,6,Jun,2011-06,0,1,Missing
569868,21810,CHRISTMAS HANGING STAR WITH BELL,48,2011-10-06 14:59:00,0.39,13018.0,United Kingdom,18.72,2011,10,Oct,2011-10,0,1,Present
554151,20975,12 PENCILS SMALL TUBE RED RETROSPOT,12,2011-05-23 11:07:00,0.65,14049.0,United Kingdom,7.800000000000001,2011,5,May,2011-05,0,1,Present
556812,21934,SKULL SHOULDER BAG,2,2011-06-14 17:25:00,3.29,,United Kingdom,6.58,2011,6,Jun,2011-06,0,1,Missing
558778,23209,LUNCH BAG DOILEY PATTERN ,10,2011-07-04 10:27:00,1.65,17160.0,United Kingdom,16.5,2011,7,Jul,2011-07,0,1,Present
573484,22294,HEART FILIGREE DOVE  SMALL,24,2011-10-31 11:33:00,1.25,14883.0,United Kingdom,30.0,2011,10,Oct,2011-10,0,1,Present
540242,22082,RIBBON REEL STRIPES DESIGN ,5,2011-01-05 15:30:00,1.65,15046.0,United Kingdom,8.25,2011,1,Jan,2011-01,0,1,Present
548715,85049D,BRIGHT BLUES RIBBONS ,4,2011-04-03 15:22:00,1.25,17758.0,United Kingdom,5.0,2011,4,Apr,2011-04,0,1,Present
551056,16049,TEATIME GEL PENS ASST,36,2011-04-26 11:51:00,0.42,16442.0,United Kingdom,15.12,2011,4,Apr,2011-04,0,1,Present
548033,21181,PLEASE ONE PERSON METAL SIGN,12,2011-03-29 12:01:00,2.1,14441.0,United Kingdom,25.200000000000003,2011,3,Mar,2011-03,0,1,Present
C542413,21756,BATH BUILDING BLOCK WORD,-2,2011-01-27 17:11:00,5.95,16923.0,United Kingdom,-11.9,2011,1,Jan,2011-01,1,0,Present
576329,23570,TRADITIONAL PICK UP STICKS GAME ,9,2011-11-14 15:22:00,2.46,,United Kingdom,22.14,2011,11,Nov,2011-11,0,1,Missing
572836,23005,TRAVEL CARD WALLET I LOVE LONDON,24,2011-10-26 11:51:00,0.42,15568.0,United Kingdom,10.08,2011,10,Oct,2011-10,0,1,Present
561004,23175,REGENCY MILK JUG PINK ,8,2011-07-22 14:47:00,3.25,15189.0,United Kingdom,26.0,2011,7,Jul,2011-07,0,1,Present
548621,85197,SET OF 12 MINI BUNNIES IN A BUCKET,1,2011-04-01 11:54:00,2.1,16960.0,United Kingdom,2.1,2011,4,Apr,2011-04,0,1,Present
564818,22989,SET 2 PANTRY DESIGN TEA TOWELS,1,2011-08-30 12:10:00,6.63,,United Kingdom,6.63,2011,8,Aug,2011-08,0,1,Missing
550144,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2011-04-14 14:14:00,0.65,16520.0,United Kingdom,5.2,2011,4,Apr,2011-04,0,1,Present
568040,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,8,2011-09-23 12:09:00,4.95,12681.0,France,39.6,2011,9,Sep,2011-09,0,1,Present
577816,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-11-22 09:17:00,0.55,18139.0,United Kingdom,13.200000000000001,2011,11,Nov,2011-11,0,1,Present
570482,21984,PACK OF 12 PINK PAISLEY TISSUES ,1,2011-10-10 17:00:00,0.39,17459.0,United Kingdom,0.39,2011,10,Oct,2011-10,0,1,Present
574837,22589,CARDHOLDER GINGHAM STAR,6,2011-11-07 11:33:00,2.89,15785.0,United Kingdom,17.34,2011,11,Nov,2011-11,0,1,Present
576520,21733,RED HANGING HEART T-LIGHT HOLDER,2,2011-11-15 12:33:00,2.95,14467.0,United Kingdom,5.9,2011,11,Nov,2011-11,0,1,Present
581414,22721,SET OF 3 CAKE TINS SKETCHBOOK,2,2011-12-08 14:39:00,1.95,14730.0,United Kingdom,3.9,2011,12,Dec,2011-12,0,1,Present
C545537,21908,CHOCOLATE THIS WAY METAL SIGN,-2,2011-03-03 14:14:00,2.1,16212.0,United Kingdom,-4.2,2011,3,Mar,2011-03,1,0,Present
537692,21166,COOK WITH WINE METAL SIGN ,12,2010-12-08 10:40:00,1.95,14796.0,United Kingdom,23.4,2010,12,Dec,2010-12,0,1,Present
565470,23263,SET OF 3 WOODEN HEART DECORATIONS,12,2011-09-05 10:06:00,1.25,12576.0,Poland,15.0,2011,9,Sep,2011-09,0,1,Present
556504,84920,PINK FLOWER FABRIC PONY,4,2011-06-13 08:47:00,3.75,13936.0,United Kingdom,15.0,2011,6,Jun,2011-06,0,1,Present
567461,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2011-09-20 12:31:00,6.63,,United Kingdom,6.63,2011,9,Sep,2011-09,0,1,Missing
567288,20752,BLUE POLKADOT WASHING UP GLOVES,1,2011-09-19 11:49:00,2.1,16906.0,United Kingdom,2.1,2011,9,Sep,2011-09,0,1,Present
553535,21213,PACK OF 72 SKULL CAKE CASES,24,2011-05-17 15:17:00,0.55,,EIRE,13.200000000000001,2011,5,May,2011-05,0,1,Missing
558749,47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,1,2011-07-03 10:28:00,0.42,16326.0,United Kingdom,0.42,2011,7,Jul,2011-07,0,1,Present
581166,23201,JUMBO BAG ALPHABET,2,2011-12-07 14:43:00,2.08,15525.0,United Kingdom,4.16,2011,12,Dec,2011-12,0,1,Present
572094,35970,ZINC FOLKART SLEIGH BELLS,12,2011-10-20 14:52:00,1.69,17420.0,United Kingdom,20.28,2011,10,Oct,2011-10,0,1,Present
560250,84997B,CHILDRENS CUTLERY RETROSPOT RED ,3,2011-07-17 12:31:00,4.15,14659.0,United Kingdom,12.450000000000001,2011,7,Jul,2011-07,0,1,Present
571312,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,12,2011-10-17 10:42:00,1.65,12474.0,Germany,19.799999999999997,2011,10,Oct,2011-10,0,1,Present
547078,21181,PLEASE ONE PERSON METAL SIGN,36,2011-03-20 14:41:00,2.1,14408.0,United Kingdom,75.60000000000001,2011,3,Mar,2011-03,0,1,Present
